CUSTOMER,FLAG,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
C137,0,57,47,58,66,64,57,47,58,66,64,58,66
C138,0,181,151,184,160,128,133,143,124,123,132,124,123
C139,0,383,429,438,417,362,383,429,438,417,362,438,417
C140,0,111,133,115,120,128,111,133,115,132,128,115,132
C141,0,133,126,148,140,117,133,126,148,140,117,148,140
C142,0,48,50,60,55,40,65,58,92,66,65,92,66
C143,0,57,64,59,58,60,57,64,59,58,60,59,58
C144,0,18,16,18,24,19,18,19,13,12,18,13,12
C145,0,40,80,84,83,50,55,80,78,96,85,78,96
C146,0,7,7,6,13,18,7,0,13,18,27,13,18
C147,0,10,26,11,94,50,26,11,94,60,96,94,60
C148,0,56,51,70,61,48,3,5,3,56,70,3,56
C149,0,50,47,32,55,47,84,72,135,75,100,135,75
C150,0,155,162,141,138,138,127,141,134,15,16,134,15
C151,0,10,19,20,18,18,15,20,10,15,14,10,15
C152,0,30,34,34,31,30,40,45,34,34,31,34,34
C153,0,4,3,8,9,5,4,9,5,8,10,5,8
C154,0,10,20,36,40,21,41,17,21,0,17,21,0
C155,0,158,130,177,173,190,158,130,177,173,190,177,173
C156,0,87,110,79,85,76,87,110,79,85,76,79,85
C157,0,31,32,28,25,29,31,32,28,25,29,28,25
C158,0,124,95,90,83,112,82,124,95,90,83,95,90
C159,0,215,190,184,219,218,190,184,219,218,211,219,218
C160,0,,36,49,103,94,93,163,33,172,90,33,172
C161,0,109,112,137,138,124,124,134,126,107,102,126,107
C162,0,10,5,24,18,12,1,1,1,6,12,1,6
C163,0,50,45,43,86,55,50,45,43,86,55,43,86
C164,0,31,,14,19,20,25,32,27,15,30,27,15
C165,0,22,29,63,36,28,32,24,22,4,18,22,4
C166,0,15,40,58,36,45,16,17,14,14,20,14,14
C167,0,66,71,80,80,99,80,99,92,88,111,92,88
C168,0,31,65,33,63,79,63,79,83,103,93,83,103
C169,0,200,162,204,223,173,111,122,116,148,140,116,148
C170,0,20,11,10,22,20,20,21,20,17,22,20,17
C171,0,52,45,29,13,54,26,22,20,37,38,20,37
C172,0,17,20,15,13,50,17,13,38,52,13,38,52
C173,0,20,34,37,33,15,34,37,33,15,37,33,15
C174,0,51,53,54,50,40,40,51,51,53,58,51,53
C175,0,27,24,37,40,30,22,27,24,6,29,24,6
C176,0,130,139,135,163,141,139,140,139,135,163,139,135
C177,0,78,86,112,114,97,63,73,72,56,34,72,56
C178,0,35,39,37,35,38,35,39,37,35,38,37,35
C179,0,143,167,171,170,128,143,167,171,170,128,171,170
C180,0,18,20,21,25,22,21,18,8,7,22,8,7
C181,0,235,389,350,343,400,398,385,456,509,524,456,509
C182,0,38,43,39,32,50,38,43,39,32,49,39,32
C183,0,188,170,201,197,163,193,163,165,39,41,165,39
C184,0,163,178,197,205,106,238,265,205,106,110,205,106
C185,0,45,10,122,25,124,45,10,122,25,124,122,25
C186,0,17,19,16,16,15,17,19,16,16,15,16,16
C187,0,145,178,202,166,153,202,166,200,153,178,200,153
C188,0,10,65,88,118,190,75,185,198,19,178,198,19
C189,0,24,26,20,6,18,24,26,20,6,18,20,6
C190,0,151,151,155,152,136,140,151,124,38,145,124,38
C191,0,21,20,21,11,21,21,20,21,11,21,21,11
